x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[449]Decanoyl,unassigned,26,40,22211,111721,3.269490342623025,1.477260354568913e-06,3.320318511221557e-05
[449]Decanoyl,ß-strand,9,57,23807,110125,0.730380051864445,0.47254276224551195,0.6579356453683824
[449]Decanoyl,α-helix,9,57,45869,88063,0.3031390309474005,0.0006780064905291982,0.006834159829501163
[450]Glu,turn,5,54,16019,117920,0.6815980097708045,0.5324762204293904,0.722209126559403
[450]Glu,unassigned,4,55,22233,111706,0.36540605079263827,0.06403394231397588,0.16829011200968763
[450]Glu,ß-strand,11,48,23805,110134,1.060241195827207,0.9962781878877659,1.0
[450]Glu,α-helix,22,37,45856,88083,1.1421335414269818,0.7213391685552979,0.8555342570192349
[451]GluGlu,α-helix,9,16,45869,88104,1.0804355883058274,1.0,1.0
[452]GluGluGlu,α-helix,2,17,45876,88103,0.22593641170828782,0.05279662712870715,0.14488376746947543
[490]Hep,turn,5,56,16019,117918,0.6572440762309044,0.4787508478419953,0.6626697952534363
[490]Hep,unassigned,16,45,22221,111716,1.7875543154873519,0.06417843254606731,0.16829011200968763
[490]Hep,ß-strand,16,45,23800,110137,1.6453706816059757,0.11864232861953787,0.24561043468606086
[490]Hep,α-helix,9,52,45869,88068,0.3323058811297055,0.002120891556709556,0.01763757463778965
[503]LG-lactam-K,ß-strand,3,26,23813,110156,0.5337549948476753,0.4215989281682221,0.6066911405347586
[503]LG-lactam-K,α-helix,2,27,45876,88093,0.14224011263857805,0.0036420821462194307,0.02460121863684409
[504]LG-Hlactam-K,α-helix,2,17,45876,88103,0.22593641170828782,0.05279662712870715,0.14488376746947543
[512]Hex(2),turn,3,54,16021,117920,0.40890775301860754,0.17572912171851396,0.32273986556863266
[512]Hex(2),unassigned,20,37,22217,111724,2.7182495994666853,0.00034952451858134907,0.004582654799177688
[512]Hex(2),ß-strand,10,47,23806,110135,0.984330787339505,1.0,1.0
[512]Hex(2),α-helix,7,50,45871,88070,0.26879291927361515,0.0007944195606288708,0.0078117923461838955
[528]Methyl+Deamidated,bend,3,61,10623,123311,0.5708816162888135,0.4660821775461902,0.6527916551982248
[528]Methyl+Deamidated,turn,12,52,16012,117922,1.6995234343473165,0.13828047496334384,0.27539402608733454
[528]Methyl+Deamidated,unassigned,5,59,22232,111702,0.42579485365422265,0.08526012466348859,0.20712587504985086
[528]Methyl+Deamidated,ß-strand,9,55,23807,110127,0.7569530733894156,0.5397293188643109,0.7278635385827278
[528]Methyl+Deamidated,α-helix,29,35,45849,88085,1.5918496430830398,0.08259015337538991,0.203026075227227
